datetime,temp,humidity,precip,windspeed,winddir,visibility,solarradiation,cloudcover,Date,Site ID,POC,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,pm25-1,
2/14/2014,2.8,62.1,4.967,40.7,271.2,14,175.9,50.9,2/14/2014,421010048,3,15.3,58,4.6,
2/15/2014,1.2,69.8,2.675,31.2,1,12,44.3,88.2,2/15/2014,421010048,3,25,78,15.3,
2/16/2014,-3.3,49.8,0,26.8,298.5,16,136.8,53.8,2/16/2014,421010048,3,14.7,56,25,
2/17/2014,-3.8,45.5,0,18.9,321.6,16,191.1,26.9,2/17/2014,421010048,3,13.3,54,14.7,
2/18/2014,1.1,69.8,3.925,21.4,255.2,12.6,155.8,61.9,2/18/2014,421010048,3,18.4,64,13.3,
2/19/2014,2.2,81.3,8.189,21,279.6,9.2,69,56.4,2/19/2014,421010048,3,33.5,96,18.4,
2/19/2014,2.2,81.3,8.189,21,279.6,9.2,69,56.4,2/19/2014,421010048,5,29.2,87,33.5,
2/20/2014,5.1,56.6,0,16.9,212.3,15.9,159.6,58.6,2/20/2014,421010048,3,13.1,53,29.2,
2/21/2014,5.7,84.9,3.205,27.4,44,9.3,63.8,83,2/21/2014,421010048,3,14.6,56,13.1,
2/22/2014,6.5,59.2,0,32.9,229.5,14,181.2,26.8,2/22/2014,421010048,3,15.6,58,14.6,
2/22/2014,6.5,59.2,0,32.9,229.5,14,181.2,26.8,2/22/2014,421010048,5,20.7,69,15.6,
2/23/2014,8.1,52.8,0.031,21.1,286.8,16,120.3,46.5,2/23/2014,421010048,3,8.3,35,20.7,
2/24/2014,2.6,46.7,0.2,35,286.3,15.9,192.1,33.6,2/24/2014,421010048,3,6.9,29,8.3,
2/25/2014,-1,47.9,0,27.8,274.2,15.5,76,50.9,2/25/2014,421010048,3,12.7,52,6.9,
2/25/2014,-1,47.9,0,27.8,274.2,15.5,76,50.9,2/25/2014,421010048,5,11.6,48,12.7,
2/26/2014,-2.3,50.7,1.989,31.8,275.8,13.3,111,50.6,2/26/2014,421010048,3,13.3,54,11.6,
2/27/2014,-4.1,41.5,0,36.8,275.7,16,177.1,35.9,2/27/2014,421010048,3,11.6,48,13.3,
2/28/2014,-8,30,0,21.9,326.1,16,218.5,11.5,2/28/2014,421010048,3,11,46,11.6,
2/28/2014,-8,30,0,21.9,326.1,16,218.5,11.5,2/28/2014,421010048,5,7.9,33,11,
3/1/2014,-1.9,48.7,0,14.5,190.3,16,203.4,47.9,3/1/2014,421010048,3,15.7,59,7.9,
3/2/2014,2.4,68.8,1.157,12.5,326.3,13.7,103,94.8,3/2/2014,421010048,3,23.4,75,15.7,
3/3/2014,-5.5,59.5,6.439,26.6,348.6,11.2,65.7,74.1,3/3/2014,421010048,3,10.8,45,23.4,
3/3/2014,-5.5,59.5,6.439,26.6,348.6,11.2,65.7,74.1,3/3/2014,421010048,5,9,38,10.8,
3/4/2014,-6.1,44.7,0,15.9,351.7,16,126.9,49.7,3/4/2014,421010048,3,15,57,9,
3/5/2014,-0.6,44.7,0,28.2,1.3,16,215.1,56.7,3/5/2014,421010048,3,22.5,73,15,
3/6/2014,-2.9,48.4,0,24.1,54.4,16,195.4,45.9,3/6/2014,421010048,3,10.8,45,22.5,
3/6/2014,-2.9,48.4,0,24.1,54.4,16,195.4,45.9,3/6/2014,421010048,5,8.3,35,10.8,
3/7/2014,1.1,64.5,0,22.7,42.7,16,120.7,87.3,3/7/2014,421010048,3,12.9,53,8.3,
3/8/2014,7.7,52.9,0,27,297.6,16,217.8,57.4,3/8/2014,421010048,3,18.6,65,12.9,
3/9/2014,5.6,48.9,0.399,24.8,310.5,13.8,224.8,66.5,3/9/2014,421010048,3,20.5,69,18.6,
3/9/2014,5.6,48.9,0.399,24.8,310.5,13.8,224.8,66.5,3/9/2014,421010048,5,16.6,60,20.5,
3/10/2014,7.2,42.6,0,21.1,226,16,132.7,69.3,3/10/2014,421010048,3,12.3,51,16.6,
3/11/2014,10.9,50.4,0,19.4,242.2,16,182.8,50.1,3/11/2014,421010048,3,19.2,66,12.3,
3/12/2014,11.5,65.1,6.486,48.9,224.8,14.9,67.8,79,3/12/2014,421010048,3,15.9,59,19.2,
3/12/2014,11.5,65.1,6.486,48.9,224.8,14.9,67.8,79,3/12/2014,421010048,5,17,61,15.9,
3/13/2014,-2.8,36,0.439,48.6,306.2,16,193.4,36.4,3/13/2014,421010048,3,6.3,26,17,
3/14/2014,2.4,38.1,0,27,208.4,16,230.2,49.9,3/14/2014,421010048,3,9.1,38,6.3,
3/15/2014,11.5,34.3,0,33.8,260.7,16,225.8,54.9,3/15/2014,421010048,3,7,29,9.1,
3/15/2014,11.5,34.3,0,33.8,260.7,16,225.8,54.9,3/15/2014,421010048,5,7.1,30,7,
3/16/2014,3.5,33.6,0,22,348.9,16,142.4,50.7,3/16/2014,421010048,3,4.4,18,7.1,
3/17/2014,-2,56.3,3.448,28.5,48.8,11.5,100.4,96.1,3/17/2014,421010048,3,7.5,31,4.4,
3/18/2014,2.3,44.2,0,24.6,70,16,243.3,69.4,3/18/2014,421010048,3,7.8,33,7.5,
3/18/2014,2.3,44.2,0,24.6,70,16,243.3,69.4,3/18/2014,421010048,5,6.1,25,7.8,
3/19/2014,5,75.2,15.621,21,69.9,12.2,133.6,96.2,3/19/2014,421010048,3,4.7,20,6.1,
3/20/2014,8.7,60.1,0,32.2,276.4,11.1,239.4,66.7,3/20/2014,421010048,3,12.6,52,4.7,
3/21/2014,7,41.1,0,28.3,275.6,16,255.9,14.5,3/21/2014,421010048,3,11,46,12.6,
3/21/2014,7,41.1,0,28.3,275.6,16,255.9,14.5,3/21/2014,421010048,5,10.5,44,11,
3/22/2014,10.7,47.8,0,30.3,262.8,16,160.7,45.4,3/22/2014,421010048,3,13.6,54,10.5,
3/23/2014,5.6,39.5,0,26.5,341.9,16,96.3,63.2,3/23/2014,421010048,3,6.9,29,13.6,
3/24/2014,-1.3,32.1,0,26.3,332.5,16,258.4,22.4,3/24/2014,421010048,3,7.6,32,6.9,
3/25/2014,-0.3,58.5,0.254,18.4,101,13.1,84,69.1,3/25/2014,421010048,3,17.6,63,7.6,
3/26/2014,0.4,45.9,0.03,48.5,319.7,15.1,251.3,35.7,3/26/2014,421010048,3,13.2,53,17.6,
3/27/2014,1,33.8,0,23.9,239.7,16,230.6,32.3,3/27/2014,421010048,3,9.4,39,13.2,
3/27/2014,1,33.8,0,23.9,239.7,16,230.6,32.3,3/27/2014,421010048,5,8.7,36,9.4,
3/28/2014,11.3,62.2,0.503,38.2,215,15.9,152.4,78.4,3/28/2014,421010048,3,6,25,8.7,
3/29/2014,9.8,82.8,36.197,27.5,63.1,9.6,54.3,93,3/29/2014,421010048,3,6.2,26,6,
3/30/2014,7.4,84.8,22.897,32.7,353.9,7.8,55.5,99.9,3/30/2014,421010048,5,2.2,9,6.2,
3/31/2014,7.8,56.9,0.744,33.4,339,15.9,239.4,60.8,3/31/2014,421010048,3,3.3,14,2.2,
4/1/2014,9.1,49.7,0,17.2,275.6,16,227.5,25.2,4/1/2014,421010048,3,5.3,22,3.3,
